region_name,region_code,country_name,country_code,reporting_year,reporting_level,gini
Other High Income Countries,OHI,United States,USA,1963,national,0.367262649539
Other High Income Countries,OHI,United States,USA,1964,national,0.373740261551
Other High Income Countries,OHI,United States,USA,1965,national,0.368252240922
Other High Income Countries,OHI,United States,USA,1966,national,0.370964578481
Other High Income Countries,OHI,United States,USA,1967,national,0.368863002349
Other High Income Countries,OHI,United States,USA,1968,national,0.363260644942
Other High Income Countries,OHI,United States,USA,1969,national,0.360144900924
Other High Income Countries,OHI,United States,USA,1970,national,0.365921579291
Other High Income Countries,OHI,United States,USA,1971,national,0.369173830497
Other High Income Countries,OHI,United States,USA,1972,national,0.366613010952
Other High Income Countries,OHI,United States,USA,1973,national,0.361127519918
Other High Income Countries,OHI,United States,USA,1974,national,0.354765466967
Other High Income Countries,OHI,United States,USA,1975,national,0.356483878861
Other High Income Countries,OHI,United States,USA,1976,national,0.35560520246
Other High Income Countries,OHI,United States,USA,1977,national,0.355043228388
Other High Income Countries,OHI,United States,USA,1978,national,0.347900067115
Other High Income Countries,OHI,United States,USA,1979,national,0.347588762454
Other High Income Countries,OHI,United States,USA,1980,national,0.347168988918
Other High Income Countries,OHI,United States,USA,1981,national,0.354875214578
Other High Income Countries,OHI,United States,USA,1982,national,0.366604076888
Other High Income Countries,OHI,United States,USA,1983,national,0.372919990028
Other High Income Countries,OHI,United States,USA,1984,national,0.373443207234
Other High Income Countries,OHI,United States,USA,1985,national,0.376406560131
Other High Income Countries,OHI,United States,USA,1986,national,0.375563314664
Other High Income Countries,OHI,United States,USA,1987,national,0.37196098563
Other High Income Countries,OHI,United States,USA,1988,national,0.377050734447
Other High Income Countries,OHI,United States,USA,1989,national,0.382379478347
Other High Income Countries,OHI,United States,USA,1990,national,0.38262485403
Other High Income Countries,OHI,United States,USA,1991,national,0.380448374607
Other High Income Countries,OHI,United States,USA,1992,national,0.383727940954
Other High Income Countries,OHI,United States,USA,1993,national,0.403630889281
Other High Income Countries,OHI,United States,USA,1994,national,0.399853785549
Other High Income Countries,OHI,United States,USA,1995,national,0.398535978311
Other High Income Countries,OHI,United States,USA,1996,national,0.403083146132
Other High Income Countries,OHI,United States,USA,1997,national,0.405241221739
Other High Income Countries,OHI,United States,USA,1998,national,0.399517491638
Other High Income Countries,OHI,United States,USA,1999,national,0.399843904278
Other High Income Countries,OHI,United States,USA,2000,national,0.401388703255
Other High Income Countries,OHI,United States,USA,2001,national,0.405942739053
Other High Income Countries,OHI,United States,USA,2002,national,0.403520240338
Other High Income Countries,OHI,United States,USA,2003,national,0.407700380203
Other High Income Countries,OHI,United States,USA,2004,national,0.405455487155
Other High Income Countries,OHI,United States,USA,2005,national,0.412602796525
Other High Income Countries,OHI,United States,USA,2006,national,0.416933994448
Other High Income Countries,OHI,United States,USA,2007,national,0.410887631618
Other High Income Countries,OHI,United States,USA,2008,national,0.410922737224
Other High Income Countries,OHI,United States,USA,2009,national,0.408499438289
Other High Income Countries,OHI,United States,USA,2010,national,0.402413573331
Other High Income Countries,OHI,United States,USA,2011,national,0.411632785738
Other High Income Countries,OHI,United States,USA,2012,national,0.411557437991
Other High Income Countries,OHI,United States,USA,2013,national,0.408714498511
Other High Income Countries,OHI,United States,USA,2014,national,0.417370401465
Other High Income Countries,OHI,United States,USA,2015,national,0.414559274311
Other High Income Countries,OHI,United States,USA,2016,national,0.413300703578
Other High Income Countries,OHI,United States,USA,2017,national,0.413858421135
Other High Income Countries,OHI,United States,USA,2018,national,0.417825998453
Other High Income Countries,OHI,United States,USA,2019,national,0.419018399007
Other High Income Countries,OHI,United States,USA,2020,national,0.400010617555
Other High Income Countries,OHI,United States,USA,2021,national,0.396964498799
Other High Income Countries,OHI,United States,USA,2022,national,0.416990989773
Other High Income Countries,OHI,United States,USA,2023,national,0.418188785856
