region_name,region_code,country_name,country_code,reporting_year,reporting_level,mean,median
Europe & Central Asia,ECA,Armenia,ARM,2010,national,8.182074942536,6.806525664958
Other High Income Countries,OHI,Australia,AUS,2010,national,66.453958052202,53.316422974368
Other High Income Countries,OHI,Austria,AUT,2010,national,75.03737019812,65.371283638221
Other High Income Countries,OHI,Belgium,BEL,2010,national,63.00802949075,55.914804703956
South Asia,SAS,Bangladesh,BGD,2010,national,5.12779375429,4.074885793355
Europe & Central Asia,ECA,Bulgaria,BGR,2010,national,19.125999923264,16.019157293086
Europe & Central Asia,ECA,Belarus,BLR,2010,national,15.149511426031,13.147676447174
Other High Income Countries,OHI,Canada,CAN,2010,national,68.056751255323,57.035934806249
Other High Income Countries,OHI,Switzerland,CHE,2010,national,81.895087561804,68.600609480936
East Asia & Pacific,EAP,China,CHN,2010,national,8.209650052878,5.841287065616
Latin America & Caribbean,LAC,Colombia,COL,2010,national,14.708249663584,8.290562823739
Latin America & Caribbean,LAC,Costa Rica,CRI,2010,national,25.404159576049,16.277343506519
Other High Income Countries,OHI,Cyprus,CYP,2010,national,58.433057179021,48.076341723142
Europe & Central Asia,ECA,Czechia,CZE,2010,national,35.99220755634,31.901266832323
Other High Income Countries,OHI,Germany,DEU,2010,national,65.773384841614,56.071669739788
Other High Income Countries,OHI,Denmark,DNK,2010,national,66.321449995143,58.269071714439
Latin America & Caribbean,LAC,Dominican Republic,DOM,2010,national,15.272286936608,10.027004795895
Latin America & Caribbean,LAC,Ecuador,ECU,2010,national,15.875974515311,10.23127274392
Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2010,national,8.678431053961,7.080883165711
Other High Income Countries,OHI,Spain,ESP,2010,national,51.665808515891,43.09009098773
Europe & Central Asia,ECA,Estonia,EST,2010,national,25.398765500163,21.517041343079
Sub-Saharan Africa,SSA,Ethiopia,ETH,2010,national,4.305646049322,3.512784374214
Other High Income Countries,OHI,Finland,FIN,2010,national,61.601498556999,53.376371459702
Other High Income Countries,OHI,France,FRA,2010,national,66.601476934634,54.26155679186
Other High Income Countries,OHI,United Kingdom,GBR,2010,national,60.72085660513,50.097548261061
Europe & Central Asia,ECA,Georgia,GEO,2010,national,6.496626424004,5.041135278722
Sub-Saharan Africa,SSA,"Gambia, The",GMB,2010,national,5.622641820191,3.956809936347
Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2010,national,2.87523953974,1.753021331996
Other High Income Countries,OHI,Greece,GRC,2010,national,38.910751212423,33.204161299522
Latin America & Caribbean,LAC,Honduras,HND,2010,national,12.105565520086,7.172280167805
Europe & Central Asia,ECA,Hungary,HUN,2010,national,20.703123152746,18.334052707031
East Asia & Pacific,EAP,Indonesia,IDN,2010,national,4.865261500194,3.774123914731
Other High Income Countries,OHI,Ireland,IRL,2010,national,44.984427789021,37.997749368703
Other High Income Countries,OHI,Iceland,ISL,2010,national,54.022808762434,48.420790745114
Other High Income Countries,OHI,Israel,ISR,2010,national,34.942261256178,27.012195354628
Other High Income Countries,OHI,Italy,ITA,2010,national,55.439058011483,47.023421440634
Middle East & North Africa,MNA,Jordan,JOR,2010,national,17.327616442307,13.711073467201
Other High Income Countries,OHI,Japan,JPN,2010,national,48.246306613664,42.278213941839
Europe & Central Asia,ECA,Kazakhstan,KAZ,2010,national,11.285807776945,9.58346380219
Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2010,national,6.086978161583,5.128561343753
Other High Income Countries,OHI,"Korea, Rep.",KOR,2010,national,40.584037695837,34.978222338011
Europe & Central Asia,ECA,Lithuania,LTU,2010,national,21.492510758558,18.829221061612
Other High Income Countries,OHI,Luxembourg,LUX,2010,national,84.756505779161,72.969721383832
Europe & Central Asia,ECA,Latvia,LVA,2010,national,20.597053488767,17.619339852403
Europe & Central Asia,ECA,Moldova,MDA,2010,national,12.986071192827,10.753252209325
Sub-Saharan Africa,SSA,Madagascar,MDG,2010,national,1.822885560883,1.27258343831
Latin America & Caribbean,LAC,Mexico,MEX,2010,national,13.71509637731,8.955509043837
Europe & Central Asia,ECA,North Macedonia,MKD,2010,national,12.045786290557,10.183416888942
Other High Income Countries,OHI,Malta,MLT,2010,national,41.547534558328,36.596994257048
Europe & Central Asia,ECA,Montenegro,MNE,2010,national,18.888585584772,16.656815913667
East Asia & Pacific,EAP,Mongolia,MNG,2010,national,9.887740300602,8.10437629011
Sub-Saharan Africa,SSA,Malawi,MWI,2010,national,2.848122470534,1.89848878642
Sub-Saharan Africa,SSA,Nigeria,NGA,2010,national,4.596432598224,3.624192610553
Other High Income Countries,OHI,Netherlands,NLD,2010,national,65.093217564899,57.365847312325
Other High Income Countries,OHI,Norway,NOR,2010,national,74.595800136,67.054588897939
South Asia,SAS,Nepal,NPL,2010,national,5.629709178491,4.553052481725
South Asia,SAS,Pakistan,PAK,2010,national,4.686148247035,3.871169064437
Latin America & Caribbean,LAC,Panama,PAN,2010,national,20.929946728602,13.10184741625
Latin America & Caribbean,LAC,Peru,PER,2010,national,12.707852137094,9.0913372182
Other High Income Countries,OHI,Portugal,PRT,2010,national,34.730737598163,27.563897355521
Latin America & Caribbean,LAC,Paraguay,PRY,2010,national,16.200955511025,10.279612065343
Middle East & North Africa,MNA,West Bank and Gaza,PSE,2010,national,14.998510344749,11.726010516716
Europe & Central Asia,ECA,Russian Federation,RUS,2010,national,26.655919977529,19.69824152422
Sub-Saharan Africa,SSA,Rwanda,RWA,2010,national,3.304508358778,2.084927033847
Latin America & Caribbean,LAC,El Salvador,SLV,2010,national,10.624003412353,7.574444661953
Europe & Central Asia,ECA,Serbia,SRB,2010,national,14.684492457241,12.70312188953
Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2010,national,5.710834091009,4.779825905947
Europe & Central Asia,ECA,Slovak Republic,SVK,2010,national,26.62823674012,24.26174604657
Europe & Central Asia,ECA,Slovenia,SVN,2010,national,43.762166075715,39.757160227824
Other High Income Countries,OHI,Sweden,SWE,2010,national,53.956457155503,47.836016582281
East Asia & Pacific,EAP,Thailand,THA,2010,national,15.956579502279,11.680289258767
Middle East & North Africa,MNA,Tunisia,TUN,2010,national,13.968857676751,10.752841403607
Europe & Central Asia,ECA,Turkiye,TUR,2010,national,16.378491987763,12.664999799601
East Asia & Pacific,EAP,Tuvalu,TUV,2010,national,9.250617374126,6.929114886127
Other High Income Countries,OHI,"Taiwan, China",TWN,2010,national,46.301973184246,38.123951166554
Europe & Central Asia,ECA,Ukraine,UKR,2010,national,12.836907971423,11.479389711074
Latin America & Caribbean,LAC,Uruguay,URY,2010,national,29.706708669497,20.587030660424
Other High Income Countries,OHI,United States,USA,2010,national,75.459558065547,58.549272823961
East Asia & Pacific,EAP,Viet Nam,VNM,2010,national,11.193109090208,8.347607350752
East Asia & Pacific,EAP,Vanuatu,VUT,2010,national,5.85488980783,4.558657403213
Europe & Central Asia,ECA,Kosovo,XKX,2010,national,7.388164610695,5.928452764479
Sub-Saharan Africa,SSA,South Africa,ZAF,2010,national,12.981506920191,5.08842250588
Sub-Saharan Africa,SSA,Zambia,ZMB,2010,national,3.030522345284,1.738553604294
