region_name,region_code,country_name,country_code,reporting_year,reporting_level,gini
Other High Income Countries,OHI,United Kingdom,GBR,1968,national,0.268416624908
Other High Income Countries,OHI,United Kingdom,GBR,1969,national,0.279048991489
Other High Income Countries,OHI,United Kingdom,GBR,1970,national,0.279645038007
Other High Income Countries,OHI,United Kingdom,GBR,1971,national,0.292935623279
Other High Income Countries,OHI,United Kingdom,GBR,1972,national,0.287762818492
Other High Income Countries,OHI,United Kingdom,GBR,1973,national,0.288103800902
Other High Income Countries,OHI,United Kingdom,GBR,1974,national,0.289571534728
Other High Income Countries,OHI,United Kingdom,GBR,1975,national,0.278808575055
Other High Income Countries,OHI,United Kingdom,GBR,1976,national,0.275896468096
Other High Income Countries,OHI,United Kingdom,GBR,1977,national,0.271418786681
Other High Income Countries,OHI,United Kingdom,GBR,1978,national,0.272353703082
Other High Income Countries,OHI,United Kingdom,GBR,1979,national,0.274326217766
Other High Income Countries,OHI,United Kingdom,GBR,1980,national,0.284778923429
Other High Income Countries,OHI,United Kingdom,GBR,1981,national,0.296870489141
Other High Income Countries,OHI,United Kingdom,GBR,1982,national,0.299030010611
Other High Income Countries,OHI,United Kingdom,GBR,1983,national,0.297866841589
Other High Income Countries,OHI,United Kingdom,GBR,1984,national,0.291662039873
Other High Income Countries,OHI,United Kingdom,GBR,1985,national,0.304193738021
Other High Income Countries,OHI,United Kingdom,GBR,1986,national,0.319191855498
Other High Income Countries,OHI,United Kingdom,GBR,1987,national,0.338534191493
Other High Income Countries,OHI,United Kingdom,GBR,1988,national,0.342728743551
Other High Income Countries,OHI,United Kingdom,GBR,1989,national,0.333542044012
Other High Income Countries,OHI,United Kingdom,GBR,1990,national,0.35741968589400003
Other High Income Countries,OHI,United Kingdom,GBR,1991,national,0.349628177407
Other High Income Countries,OHI,United Kingdom,GBR,1992,national,0.349554717964
Other High Income Countries,OHI,United Kingdom,GBR,1993,national,0.350759593445
Other High Income Countries,OHI,United Kingdom,GBR,1994,national,0.359789228874
Other High Income Countries,OHI,United Kingdom,GBR,1995,national,0.355166401443
Other High Income Countries,OHI,United Kingdom,GBR,1996,national,0.352952405224
Other High Income Countries,OHI,United Kingdom,GBR,1997,national,0.357351644631
Other High Income Countries,OHI,United Kingdom,GBR,1998,national,0.36621472693
Other High Income Countries,OHI,United Kingdom,GBR,1999,national,0.367837793053
Other High Income Countries,OHI,United Kingdom,GBR,2000,national,0.38848640927
Other High Income Countries,OHI,United Kingdom,GBR,2001,national,0.370862170064
Other High Income Countries,OHI,United Kingdom,GBR,2002,national,0.351463938125
Other High Income Countries,OHI,United Kingdom,GBR,2003,national,0.348560617581
Other High Income Countries,OHI,United Kingdom,GBR,2004,national,0.348341578845
Other High Income Countries,OHI,United Kingdom,GBR,2005,national,0.354850307545
Other High Income Countries,OHI,United Kingdom,GBR,2006,national,0.358799879267
Other High Income Countries,OHI,United Kingdom,GBR,2007,national,0.344131483086
Other High Income Countries,OHI,United Kingdom,GBR,2008,national,0.354451236183
Other High Income Countries,OHI,United Kingdom,GBR,2009,national,0.35137362936
Other High Income Countries,OHI,United Kingdom,GBR,2010,national,0.337056002415
Other High Income Countries,OHI,United Kingdom,GBR,2011,national,0.331910845509
Other High Income Countries,OHI,United Kingdom,GBR,2012,national,0.330906451312
Other High Income Countries,OHI,United Kingdom,GBR,2013,national,0.326995677622
Other High Income Countries,OHI,United Kingdom,GBR,2014,national,0.331409393308
Other High Income Countries,OHI,United Kingdom,GBR,2015,national,0.333119642202
Other High Income Countries,OHI,United Kingdom,GBR,2016,national,0.331093269543
Other High Income Countries,OHI,United Kingdom,GBR,2017,national,0.326082305627
Other High Income Countries,OHI,United Kingdom,GBR,2018,national,0.33689802573
Other High Income Countries,OHI,United Kingdom,GBR,2019,national,0.328241847553
Other High Income Countries,OHI,United Kingdom,GBR,2020,national,0.326445757987
Other High Income Countries,OHI,United Kingdom,GBR,2021,national,0.324146343314
