country_code,year,rate,sex,age_range
AUT,2005,63.8,female,15-24
AUT,2006,64.1,female,15-24
AUT,2007,64.4,female,15-24
AUT,2008,65,female,15-24
AUT,2009,64.7,female,15-24
AUT,2010,61.29136713104416,female,15-24
AUT,2011,62.74727452606389,female,15-24
AUT,2012,62.93966296521588,female,15-24
AUT,2013,62.38390746427454,female,15-24
AUT,2014,62.76480044331645,female,15-24
AUT,2015,64.37745503391059,female,15-24
AUT,2016,63.30988244681339,female,15-24
AUT,2017,65.36604147430918,female,15-24
AUT,2018,63.45845815409974,female,15-24
AUT,2019,62.96453946840557,female,15-24
AUT,2020,63.82401258813083,female,15-24
AUT,2021,65.34583321588865,female,15-24
AUT,2022,63.41975048671146,female,15-24
AUT,2023,62.26669232007704,female,15-24
BEL,2005,66.1,female,15-24
BEL,2006,67.6,female,15-24
BEL,2007,68.1,female,15-24
BEL,2008,68.7,female,15-24
BEL,2009,70,female,15-24
BEL,2010,70.33842471386285,female,15-24
BEL,2011,69.40132244139858,female,15-24
BEL,2012,69.98530272536662,female,15-24
BEL,2013,70.32037873984046,female,15-24
BEL,2014,70.99126321900023,female,15-24
BEL,2015,70.6013456423317,female,15-24
BEL,2016,73.8257483825102,female,15-24
BEL,2017,74.76519680469234,female,15-24
BEL,2018,72.26725332202032,female,15-24
BEL,2019,72.22696155267377,female,15-24
BEL,2020,75.68250941685899,female,15-24
BEL,2021,80.80575330536887,female,15-24
BEL,2022,78.51525832843883,female,15-24
BEL,2023,80.673985508732855,female,15-24
CHE,2005,71.2,female,15-24
CHE,2006,70,female,15-24
CHE,2007,73.8,female,15-24
CHE,2008,73.8,female,15-24
CHE,2009,66.6,female,15-24
CHE,2010,42.65838913638984,female,15-24
CHE,2011,44.20244314357561,female,15-24
CHE,2012,44.87023530479993,female,15-24
CHE,2013,43.94834454200499,female,15-24
CHE,2014,45.81599185432174,female,15-24
CHE,2015,45.31260967145337,female,15-24
CHE,2016,44.09461834215966,female,15-24
CHE,2017,46.85024052077883,female,15-24
CHE,2018,47.33137445972698,female,15-24
CHE,2019,50.391545697068,female,15-24
CHE,2020,50.08954604001333,female,15-24
CHE,2021,46.6451519925764,female,15-24
CHE,2022,42.80667809923175,female,15-24
CHE,2023,51.85648131352815,female,15-24
CRI,2005,53.9,female,15-24
CRI,2006,54.5,female,15-24
CRI,2007,54,female,15-24
CRI,2008,55.4,female,15-24
CRI,2009,57.3,female,15-24
CRI,2010,59.41126745680926,female,15-24
CRI,2011,58.9823654821255,female,15-24
CRI,2012,64.43328508815594,female,15-24
CRI,2013,60.75236509651416,female,15-24
CRI,2014,62.35492577597841,female,15-24
CRI,2015,59.05633468029474,female,15-24
CRI,2016,60.84410008008723,female,15-24
CRI,2017,61.5940274896934,female,15-24
CRI,2018,62.0066602354869,female,15-24
CRI,2019,65.71011037871779,female,15-24
CRI,2020,66.16414199513578,female,15-24
CRI,2021,64.84721489282866,female,15-24
CRI,2022,65.76423621297855,female,15-24
CRI,2023,61.44184050057084,female,15-24
DEU,2005,69.9,female,15-24
DEU,2006,69.7,female,15-24
DEU,2007,71.8,female,15-24
DEU,2008,71.6,female,15-24
DEU,2009,72.4,female,15-24
DEU,2010,70.38407243693912,female,15-24
DEU,2011,70.25890571157855,female,15-24
DEU,2012,72.35557454805573,female,15-24
DEU,2013,73.42778774216538,female,15-24
DEU,2014,74.06167201700109,female,15-24
DEU,2015,74.856901010182,female,15-24
DEU,2016,73.77768837052878,female,15-24
DEU,2017,74.71162261435637,female,15-24
DEU,2018,75.01550420062601,female,15-24
DEU,2019,75.61002997618253,female,15-24
DEU,2020,74.36387283992067,female,15-24
DEU,2021,72.50723476919347,female,15-24
DEU,2022,73.99075647809022,female,15-24
DEU,2023,73.25399937393175,female,15-24
DNK,2005,79.3,female,15-24
DNK,2006,80.8,female,15-24
DNK,2007,79.9,female,15-24
DNK,2008,79.9,female,15-24
DNK,2009,82,female,15-24
DNK,2010,82.72428579042341,female,15-24
DNK,2011,82.07850246131513,female,15-24
DNK,2012,82.08160866239542,female,15-24
DNK,2013,83.83311162292631,female,15-24
DNK,2014,83.97493816894003,female,15-24
DNK,2015,82.2892023057784,female,15-24
DNK,2016,81.80884401073592,female,15-24
DNK,2017,78.44226179086424,female,15-24
DNK,2018,75.82895285245218,female,15-24
DNK,2019,77.25156221831388,female,15-24
DNK,2020,76.18513350194384,female,15-24
DNK,2021,77.11698779055435,female,15-24
DNK,2022,76.7602535296277,female,15-24
DNK,2023,76.92067728775194,female,15-24
ESP,2005,62.4,female,15-24
ESP,2006,64,female,15-24
ESP,2007,65.5,female,15-24
ESP,2008,66.2,female,15-24
ESP,2009,66.5,female,15-24
ESP,2010,63.9401054456241,female,15-24
ESP,2011,64.92766925151359,female,15-24
ESP,2012,67.52257925105751,female,15-24
ESP,2013,69.07041050105671,female,15-24
ESP,2014,71.08626304430278,female,15-24
ESP,2015,71.35699591490946,female,15-24
ESP,2016,72.25853477862242,female,15-24
ESP,2017,72.01517543284113,female,15-24
ESP,2018,73.11721300145607,female,15-24
ESP,2019,73.77406495654027,female,15-24
ESP,2020,74.65745235014286,female,15-24
ESP,2021,78.24537991187232,female,15-24
ESP,2022,76.29590038944785,female,15-24
ESP,2023,77.02609632382631,female,15-24
FIN,2005,75.3,female,15-24
FIN,2006,74,female,15-24
FIN,2007,74.7,female,15-24
FIN,2008,74.3,female,15-24
FIN,2009,76,female,15-24
FIN,2010,77.7296238226596,female,15-24
FIN,2011,75.27711221527377,female,15-24
FIN,2012,75.7368041907439,female,15-24
FIN,2013,74.15802446337604,female,15-24
FIN,2014,75.2667597480601,female,15-24
FIN,2015,71.50397336283662,female,15-24
FIN,2016,73.86339426041097,female,15-24
FIN,2017,74.21249762533984,female,15-24
FIN,2018,73.69955751417486,female,15-24
FIN,2019,77.40420747540607,female,15-24
FIN,2020,74.47886929958464,female,15-24
