country_code,year,rate,sex,age_range
AFG,2014,20.67722675984043,female,15-24
AFG,2017,18.43835003873024,female,15-24
AFG,2020,12.90209213194575,female,15-24
AFG,2021,18.88795806011734,female,15-24
AGO,2004,46,female,15-24
AGO,2009,40.1,female,15-24
AGO,2011,59.43703344973904,female,15-24
AGO,2014,49.46234716368426,female,15-24
AGO,2019,42.20037208553008,female,15-24
AGO,2021,45.99968397847,female,15-24
AGO,2022,42.41117053137987,female,15-24
ALB,2007,46.4,female,15-24
ALB,2008,49.1,female,15-24
ALB,2009,44.8,female,15-24
ALB,2010,49.46304910477723,female,15-24
ALB,2011,45.62108998281094,female,15-24
ALB,2012,55.16027810913197,female,15-24
ALB,2013,56.60693914202554,female,15-24
ALB,2014,55.25258719225262,female,15-24
ALB,2015,57.00453744354095,female,15-24
ALB,2016,58.98428802777087,female,15-24
ALB,2017,57.36445570131909,female,15-24
ALB,2018,54.76992186950582,female,15-24
ALB,2019,55.81122330819984,female,15-24
ALB,2020,55.96551076182183,female,15-24
ALB,2021,57.19740454965622,female,15-24
ALB,2022,56.01007709311221,female,15-24
ALB,2023,56.97568957769194,female,15-24
ARE,2021,60.07660666633129,female,15-24
ARE,2022,62.61560013688418,female,15-24
ARE,2023,63.14005438877609,female,15-24
ARG,2004,57.9,female,15-24
ARG,2005,59.1,female,15-24
ARG,2006,58.2,female,15-24
ARG,2008,58.6,female,15-24
ARG,2009,60.4,female,15-24
ARG,2010,60.56983113173548,female,15-24
ARG,2011,61.65721890083766,female,15-24
ARG,2012,61.90589728868824,female,15-24
ARG,2013,61.44841741228436,female,15-24
ARG,2014,61.08116867729935,female,15-24
ARG,2017,63.7320985890419,female,15-24
ARG,2018,63.8436252333174,female,15-24
ARG,2019,64.92596722057635,female,15-24
ARG,2020,66.30825379122773,female,15-24
ARG,2021,68.9419824227519,female,15-24
ARG,2022,66.45953935474179,female,15-24
ARG,2023,66.83355499657976,female,15-24
ARM,2010,41.39696277239306,female,15-24
ARM,2011,41.81055240412904,female,15-24
ARM,2012,43.93790070918609,female,15-24
ARM,2013,41.74408047191992,female,15-24
ARM,2014,43.38651883328605,female,15-24
ARM,2015,46.60425070805708,female,15-24
ARM,2016,48.39060422420409,female,15-24
ARM,2017,47.92175902062944,female,15-24
ARM,2018,50.76453925379765,female,15-24
ARM,2019,55.01380843757691,female,15-24
ARM,2020,57.34060961725328,female,15-24
ARM,2021,62.268650647659904,female,15-24
ARM,2022,61.20488921873193,female,15-24
ARM,2023,63.39787259355784,female,15-24
ATG,2018,46.64990928400783,female,15-24
ATG,2023,51.57268104604721,female,15-24
AUS,2018,62.53583851139338,female,15-24
AUS,2019,63.04907716591824,female,15-24
AUS,2020,64.49762069915657,female,15-24
AUS,2021,65.75513393778574,female,15-24
AUS,2022,64.01362477392342,female,15-24
AUS,2023,63.11883299537482,female,15-24
AUT,2004,61.1,female,15-24
AUT,2005,63.8,female,15-24
AUT,2006,64.1,female,15-24
AUT,2007,64.4,female,15-24
AUT,2008,65,female,15-24
AUT,2009,64.7,female,15-24
AUT,2010,61.29136713104416,female,15-24
AUT,2011,62.74727452606389,female,15-24
AUT,2012,62.93966296521588,female,15-24
AUT,2013,62.38390746427454,female,15-24
AUT,2014,62.76480044331645,female,15-24
AUT,2015,64.37745503391059,female,15-24
AUT,2016,63.30988244681339,female,15-24
AUT,2017,65.36604147430918,female,15-24
AUT,2018,63.45845815409974,female,15-24
AUT,2019,62.96453946840557,female,15-24
AUT,2020,63.82401258813083,female,15-24
AUT,2021,65.34583321588865,female,15-24
AUT,2022,63.41975048671146,female,15-24
AUT,2023,62.26669232007704,female,15-24
BDI,2006,26,female,15-24
BDI,2014,41.48706140941368,female,15-24
BDI,2020,33.77549176204694,female,15-24
BEL,2004,71.5,female,15-24
BEL,2005,66.1,female,15-24
BEL,2006,67.6,female,15-24
BEL,2007,68.1,female,15-24
BEL,2008,68.7,female,15-24
BEL,2009,70,female,15-24
BEL,2010,70.33842471386285,female,15-24
BEL,2011,69.40132244139858,female,15-24
BEL,2012,69.98530272536662,female,15-24
BEL,2013,70.32037873984046,female,15-24
BEL,2014,70.99126321900023,female,15-24
BEL,2015,70.6013456423317,female,15-24
BEL,2016,73.8257483825102,female,15-24
BEL,2017,74.76519680469234,female,15-24
BEL,2018,72.26725332202032,female,15-24
BEL,2019,72.22696155267377,female,15-24
BEL,2020,75.68250941685899,female,15-24
BEL,2021,80.80575330536887,female,15-24
BEL,2022,78.51525832843883,female,15-24
BEL,2023,80.673985508732855,female,15-24
BEN,2011,33.66407587332296,female,15-24
BEN,2019,34.40883231439167,female,15-24
BEN,2022,36.08082848873105,female,15-24
BFA,2018,30.10626324821252,female,15-24
BFA,2019,34.68323028629175,female,15-24
BFA,2022,33.95454556984649,female,15-24
BFA,2023,38.21482686882627,female,15-24
BGD,2006,21.8,female,15-24
BGD,2010,25.05957413715605,female,15-24
BGD,2013,29.54589675423331,female,15-24
BGD,2017,36.59288635559171,female,15-24
BGD,2022,40.68063496330138,female,15-24
BGR,2004,57.3,female,15-24
BGR,2005,57.1,female,15-24
BGR,2006,58.4,female,15-24
BGR,2007,62,female,15-24
BGR,2008,63.7,female,15-24
BGR,2009,60.9,female,15-24
BGR,2010,61.95910868003638,female,15-24
BGR,2011,62.46736737000786,female,15-24
BGR,2012,64.59608836784453,female,15-24
BGR,2013,64.99095658660033,female,15-24
BGR,2014,65.84573892936906,female,15-24
BGR,2015,68.84665416641299,female,15-24
BGR,2016,68.3309324403323,female,15-24
BGR,2017,68.49372030635455,female,15-24
BGR,2018,71.94309971591255,female,15-24
BGR,2019,72.55859913920328,female,15-24
BGR,2020,72.83624735989044,female,15-24
BGR,2021,75.19304707844174,female,15-24
BGR,2022,73.95593593762521,female,15-24
BGR,2023,76.74035792365224,female,15-24
BIH,2001,52.8,female,15-24
BIH,2006,55.8,female,15-24
BIH,2007,58.9,female,15-24
BIH,2008,60.5,female,15-24
BIH,2009,63.4,female,15-24
BIH,2010,62.28755063173706,female,15-24
BIH,2011,65.06334439568326,female,15-24
BIH,2012,66.45989258232822,female,15-24
BIH,2013,67.690802030557,female,15-24
BIH,2014,67.64596783771516,female,15-24
BIH,2015,66.77479495710354,female,15-24
BIH,2016,66.45517085861906,female,15-24
BIH,2017,64.6955517094906,female,15-24
BIH,2018,66.5836432509728,female,15-24
BIH,2019,59.62022084252977,female,15-24
BIH,2020,62.59323212521265,female,15-24
BIH,2021,66.31590289253546,female,15-24
BIH,2022,69.60578824909082,female,15-24
BIH,2023,73.397197519598,female,15-24
BLR,2016,56.93940279731219,female,15-24
BLR,2017,56.59451271792262,female,15-24
BLR,2018,62.70923088870507,female,15-24
BLR,2019,66.00636037585849,female,15-24
BLR,2020,67.72419760175923,female,15-24
BLR,2021,68.61719263215562,female,15-24
BLR,2022,70.10153279621422,female,15-24
BLZ,2013,36.94522822644053,female,15-24
BLZ,2014,37.82419280202296,female,15-24
BLZ,2015,37.412774976136014,female,15-24
BLZ,2016,39.62593817856209,female,15-24
BLZ,2017,37.532982296852,female,15-24
BLZ,2018,41.7202491247812,female,15-24
BLZ,2019,38.6250574191823,female,15-24
BLZ,2020,38.89492122391066,female,15-24
BLZ,2021,37.78729838751489,female,15-24
BLZ,2022,33.95063256805011,female,15-24
BOL,2000,50,female,15-24
BOL,2001,32.2,female,15-24
BOL,2002,37.8,female,15-24
BOL,2004,51.3,female,15-24
BOL,2005,58.5,female,15-24
BOL,2006,56,female,15-24
BOL,2007,60.4,female,15-24
BOL,2008,59.3,female,15-24
BOL,2009,58.7,female,15-24
BOL,2011,59.58216429146784,female,15-24
BOL,2012,62.24062367815011,female,15-24
BOL,2013,63.1119377171303,female,15-24
BOL,2014,59.32102171045737,female,15-24
BOL,2015,60.24020924069059,female,15-24
BOL,2016,62.35632652943656,female,15-24
BOL,2017,65.417013592275,female,15-24
BOL,2018,64.73043017353156,female,15-24
BOL,2019,65.84846525766294,female,15-24
BOL,2020,64.57088380399053,female,15-24
BOL,2021,60.41084421273568,female,15-24
BOL,2022,60.878955214727164,female,15-24
BOL,2023,63.22222119464891,female,15-24
BRA,2001,48.2,female,15-24
BRA,2002,49.1,female,15-24
BRA,2003,49.2,female,15-24
BRA,2004,47.9,female,15-24
BRA,2005,47.5,female,15-24
BRA,2006,47.6,female,15-24
BRA,2007,46.9,female,15-24
BRA,2008,48,female,15-24
BRA,2009,48.8,female,15-24
BRA,2011,47.58016570795859,female,15-24
BRA,2012,47.10435662328884,female,15-24
BRA,2013,47.16541923889829,female,15-24
BRA,2014,47.32152593319366,female,15-24
BRA,2015,47.56978133156606,female,15-24
BRA,2016,48.38511936214906,female,15-24
BRA,2017,47.53229648661706,female,15-24
BRA,2018,48.22648279393522,female,15-24
BRA,2019,47.75097435798833,female,15-24
BRA,2020,50.09621235768537,female,15-24
BRA,2021,51.18679684171443,female,15-24
BRA,2022,49.93857240371663,female,15-24
BRA,2023,50.24560180456545,female,15-24
BRB,2016,46.7969139138331,female,15-24
BRN,2014,58.74560373646401,female,15-24
BRN,2017,56.09626891949316,female,15-24
BRN,2018,54.37355632825304,female,15-24
BRN,2019,55.48429985210673,female,15-24
BRN,2020,55.46616931159831,female,15-24
BRN,2021,58.23208852995189,female,15-24
BRN,2022,56.29886544539497,female,15-24
BRN,2023,61.19968148965668,female,15-24
BTN,2018,60.7043149095385,female,15-24
BTN,2019,63.58727464665521,female,15-24
BTN,2020,63.7092461400285,female,15-24
BTN,2021,66.49448084163234,female,15-24
BTN,2022,58.6521176376497,female,15-24
BTN,2023,51.6933928497881,female,15-24
BWA,2006,30.8,female,15-24
BWA,2009,38.7,female,15-24
BWA,2019,45.67258347049836,female,15-24
BWA,2020,44.10624921139544,female,15-24
BWA,2021,43.05858814504969,female,15-24
BWA,2022,42.97278931853742,female,15-24
BWA,2023,41.33339889445791,female,15-24
CAN,2000,27.6,female,15-24
CAN,2001,27.6,female,15-24
CAN,2002,26.9,female,15-24
CAN,2003,26.1,female,15-24
CAN,2004,25.7,female,15-24
CAN,2005,25.8,female,15-24
CAN,2006,26.2,female,15-24
CAN,2007,26.2,female,15-24
CAN,2008,26.1,female,15-24
CAN,2009,26,female,15-24
CAN,2010,53.24138326093231,female,15-24
CAN,2011,52.71342845991327,female,15-24
CAN,2012,53.08766812425146,female,15-24
CAN,2013,53.11594120811609,female,15-24
CAN,2014,52.84991442866994,female,15-24
CAN,2015,53.17094603094282,female,15-24
CAN,2016,53.79894071112469,female,15-24
CAN,2017,54.40309463340912,female,15-24
CAN,2018,54.37868053260559,female,15-24
CAN,2019,54.50089156685692,female,15-24
CAN,2020,54.90194251744806,female,15-24
CAN,2021,57.48799280381316,female,15-24
CAN,2022,56.73174172619925,female,15-24
CAN,2023,56.16441984059912,female,15-24
CAN,2024,56.62714448892538,female,15-24
CHE,2000,42.2,female,15-24
CHE,2001,43.5,female,15-24
CHE,2002,42.5,female,15-24
CHE,2003,40.5,female,15-24
CHE,2004,71.6,female,15-24
CHE,2005,71.2,female,15-24
CHE,2006,70,female,15-24
CHE,2007,73.8,female,15-24
CHE,2008,73.8,female,15-24
CHE,2009,66.6,female,15-24
CHE,2010,42.65838913638984,female,15-24
CHE,2011,44.20244314357561,female,15-24
CHE,2012,44.87023530479993,female,15-24
CHE,2013,43.94834454200499,female,15-24
CHE,2014,45.81599185432174,female,15-24
CHE,2015,45.31260967145337,female,15-24
CHE,2016,44.09461834215966,female,15-24
CHE,2017,46.85024052077883,female,15-24
CHE,2018,47.33137445972698,female,15-24
CHE,2019,50.391545697068,female,15-24
CHE,2020,50.08954604001333,female,15-24
CHE,2021,46.6451519925764,female,15-24
CHE,2022,42.80667809923175,female,15-24
CHE,2023,51.85648131352815,female,15-24
CHL,2000,51.6,female,15-24
CHL,2003,54.5,female,15-24
CHL,2006,55.8,female,15-24
CHL,2009,55.3,female,15-24
CHL,2010,51.58798347713838,female,15-24
CHL,2011,50.09657058561087,female,15-24
CHL,2012,51.84867113966158,female,15-24
CHL,2013,52.08251679197774,female,15-24
CHL,2014,51.22105813382757,female,15-24
CHL,2015,51.81946346938737,female,15-24
CHL,2016,54.31945770649194,female,15-24
CHL,2017,61.50261619187629,female,15-24
CHL,2020,67.91581271135324,female,15-24
CHL,2021,71.13831096269114,female,15-24
CHL,2022,69.52588030143339,female,15-24
CHL,2023,69.26512799996907,female,15-24
CIV,2012,27.63620806311827,female,15-24
CIV,2013,31.06240664905775,female,15-24
CIV,2016,24.54755958611135,female,15-24
CIV,2017,31.11653865848922,female,15-24
CIV,2019,34.81177622918237,female,15-24
CIV,2022,45.89755451296054,female,15-24
CMR,2007,34.8,female,15-24
CMR,2014,43.67535830375796,female,15-24
CMR,2021,45.90263378914936,female,15-24
COD,2005,31.6,female,15-24
COD,2012,41.48253110138311,female,15-24
COD,2020,31.08288178919073,female,15-24
COG,2005,42.9,female,15-24
COG,2009,52.7,female,15-24
COK,2016,28.95867803275888,female,15-24
COK,2019,41.86790068158736,female,15-24
COK,2023,34.09742120343839,female,15-24
COL,2002,34.8,female,15-24
COL,2003,36.3,female,15-24
COL,2004,36.8,female,15-24
COL,2005,37.6,female,15-24
COL,2010,46.50940297630798,female,15-24
COL,2011,46.0648712511131,female,15-24
COL,2012,46.44388754619666,female,15-24
COL,2013,47.47807384615258,female,15-24
COL,2014,48.55852132957423,female,15-24
COL,2015,48.33216830767437,female,15-24
COL,2016,48.83912458751297,female,15-24
COL,2017,47.83748860400298,female,15-24
COL,2018,46.846329979065636,female,15-24
COL,2019,46.4607257406662,female,15-24
COL,2021,43.06703469488157,female,15-24
COL,2022,46.99813846448927,female,15-24
COL,2023,47.68416407262321,female,15-24
COM,2004,45.8,female,15-24
COM,2014,57.05175732578208,female,15-24
COM,2021,65.22326409015436,female,15-24
CRI,2001,47.2,female,15-24
CRI,2002,51.2,female,15-24
CRI,2003,50.7,female,15-24
CRI,2004,53.9,female,15-24
CRI,2005,53.9,female,15-24
CRI,2006,54.5,female,15-24
CRI,2007,54,female,15-24
CRI,2008,55.4,female,15-24
CRI,2009,57.3,female,15-24
CRI,2010,59.41126745680926,female,15-24
CRI,2011,58.9823654821255,female,15-24
CRI,2012,64.43328508815594,female,15-24
CRI,2013,60.75236509651416,female,15-24
CRI,2014,62.35492577597841,female,15-24
CRI,2015,59.05633468029474,female,15-24
CRI,2016,60.84410008008723,female,15-24
CRI,2017,61.5940274896934,female,15-24
CRI,2018,62.0066602354869,female,15-24
CRI,2019,65.71011037871779,female,15-24
CRI,2020,66.16414199513578,female,15-24
CRI,2021,64.84721489282866,female,15-24
CRI,2022,65.76423621297855,female,15-24
CRI,2023,61.44184050057084,female,15-24
CYP,2000,55.2,female,15-24
CYP,2001,56.9,female,15-24
CYP,2002,56.8,female,15-24
CYP,2003,60.5,female,15-24
CYP,2004,61,female,15-24
CYP,2005,50.2,female,15-24
CYP,2006,61.6,female,15-24
CYP,2007,64.9,female,15-24
CYP,2008,62.1,female,15-24
CYP,2009,64.9,female,15-24
CYP,2010,62.35825316914854,female,15-24
CYP,2011,63.12651967206424,female,15-24
CYP,2012,66.06018817099896,female,15-24
CYP,2013,65.8190628079155,female,15-24
CYP,2014,65.53821674097982,female,15-24
CYP,2015,65.49247774591733,female,15-24
CYP,2016,62.69867811036463,female,15-24
CYP,2017,59.39925442074674,female,15-24
CYP,2018,60.83453515665889,female,15-24
CYP,2019,60.8320478992723,female,15-24
CYP,2020,61.80219103223414,female,15-24
CYP,2021,60.62343954181808,female,15-24
CYP,2022,58.83693953006865,female,15-24
CYP,2023,57.95231250048683,female,15-24
CZE,2003,56.1,female,15-24
CZE,2004,63.7,female,15-24
CZE,2005,63.8,female,15-24
CZE,2006,68,female,15-24
CZE,2007,70.2,female,15-24
CZE,2008,72.2,female,15-24
CZE,2009,73.1,female,15-24
CZE,2010,72.68502615556912,female,15-24
CZE,2011,73.75932669265019,female,15-24
CZE,2012,73.20479161873838,female,15-24
CZE,2013,72.39508114075814,female,15-24
CZE,2014,72.0618195885801,female,15-24
CZE,2015,71.19484776081667,female,15-24
CZE,2016,72.96996075917208,female,15-24
CZE,2017,73.03960458729561,female,15-24
CZE,2018,73.19695840133997,female,15-24
CZE,2019,72.32229667085264,female,15-24
CZE,2020,75.09314582897126,female,15-24
CZE,2021,76.2075748380275,female,15-24
CZE,2022,74.601894092096515,female,15-24
CZE,2023,74.69613229263221,female,15-24
DEU,2004,71.3,female,15-24
DEU,2005,69.9,female,15-24
DEU,2006,69.7,female,15-24
DEU,2007,71.8,female,15-24
DEU,2008,71.6,female,15-24
DEU,2009,72.4,female,15-24
DEU,2010,70.38407243693912,female,15-24
DEU,2011,70.25890571157855,female,15-24
