region,region_type,year,access,pcnt
Africa,WHO,2000,safe,19.31
Africa,WHO,2000,basic,28.48
Africa,WHO,2000,limited,8.81
Africa,WHO,2000,unimproved,25.89
Africa,WHO,2000,surface,17.5
Africa,WHO,2001,safe,19.61
Africa,WHO,2001,basic,28.95
Africa,WHO,2001,limited,9.08
Africa,WHO,2001,unimproved,25.25
Africa,WHO,2001,surface,17.12
Africa,WHO,2002,safe,20.07
Africa,WHO,2002,basic,29.31
Africa,WHO,2002,limited,9.3
Africa,WHO,2002,unimproved,24.74
Africa,WHO,2002,surface,16.58
Africa,WHO,2003,safe,20.54
Africa,WHO,2003,basic,29.67
Africa,WHO,2003,limited,9.53
Africa,WHO,2003,unimproved,24.24
Africa,WHO,2003,surface,16.02
Africa,WHO,2004,safe,21.07
Africa,WHO,2004,basic,29.97
Africa,WHO,2004,limited,9.75
Africa,WHO,2004,unimproved,23.74
Africa,WHO,2004,surface,15.47
Africa,WHO,2005,safe,21.61
Africa,WHO,2005,basic,30.28
Africa,WHO,2005,limited,9.97
Africa,WHO,2005,unimproved,23.23
Africa,WHO,2005,surface,14.91
Africa,WHO,2006,safe,22.18
Africa,WHO,2006,basic,30.56
Africa,WHO,2006,limited,10.17
Africa,WHO,2006,unimproved,22.72
Africa,WHO,2006,surface,14.36
Africa,WHO,2007,safe,22.81
Africa,WHO,2007,basic,30.78
Africa,WHO,2007,limited,10.38
Africa,WHO,2007,unimproved,22.21
Africa,WHO,2007,surface,13.82
Africa,WHO,2008,safe,23.48
Africa,WHO,2008,basic,30.98
Africa,WHO,2008,limited,10.58
Africa,WHO,2008,unimproved,21.69
Africa,WHO,2008,surface,13.27
Africa,WHO,2009,safe,24.18
Africa,WHO,2009,basic,31.16
Africa,WHO,2009,limited,10.77
Africa,WHO,2009,unimproved,21.17
Africa,WHO,2009,surface,12.72
Africa,WHO,2010,safe,24.9
Africa,WHO,2010,basic,31.32
Africa,WHO,2010,limited,10.96
Africa,WHO,2010,unimproved,20.64
Africa,WHO,2010,surface,12.17
Africa,WHO,2011,safe,25.39
Africa,WHO,2011,basic,31.53
Africa,WHO,2011,limited,11.3
Africa,WHO,2011,unimproved,20.05
Africa,WHO,2011,surface,11.74
Africa,WHO,2012,safe,26.17
Africa,WHO,2012,basic,31.63
Africa,WHO,2012,limited,11.49
Africa,WHO,2012,unimproved,19.53
Africa,WHO,2012,surface,11.19
Africa,WHO,2013,safe,26.97
Africa,WHO,2013,basic,31.69
Africa,WHO,2013,limited,11.68
Africa,WHO,2013,unimproved,19.02
Africa,WHO,2013,surface,10.64
Africa,WHO,2014,safe,27.81
Africa,WHO,2014,basic,31.73
Africa,WHO,2014,limited,11.86
Africa,WHO,2014,unimproved,18.51
Africa,WHO,2014,surface,10.09
Africa,WHO,2015,safe,28.69
Africa,WHO,2015,basic,31.74
Africa,WHO,2015,limited,12.03
Africa,WHO,2015,unimproved,18
Africa,WHO,2015,surface,9.54
Africa,WHO,2016,safe,29.57
Africa,WHO,2016,basic,31.72
Africa,WHO,2016,limited,12.2
Africa,WHO,2016,unimproved,17.5
Africa,WHO,2016,surface,9.01
Africa,WHO,2017,safe,30.44
Africa,WHO,2017,basic,31.72
Africa,WHO,2017,limited,12.36
Africa,WHO,2017,unimproved,17.02
Africa,WHO,2017,surface,8.46
Africa,WHO,2018,safe,31.25
Africa,WHO,2018,basic,31.75
Africa,WHO,2018,limited,12.54
Africa,WHO,2018,unimproved,16.51
Africa,WHO,2018,surface,7.94
Africa,WHO,2019,safe,31.81
Africa,WHO,2019,basic,32.04
Africa,WHO,2019,limited,12.73
Africa,WHO,2019,unimproved,15.97
Africa,WHO,2019,surface,7.45
Africa,WHO,2020,safe,32.34
Africa,WHO,2020,basic,32.34
Africa,WHO,2020,limited,12.9
Africa,WHO,2020,unimproved,15.45
Africa,WHO,2020,surface,6.97
Africa,WHO,2021,safe,32.87
Africa,WHO,2021,basic,32.63
Africa,WHO,2021,limited,13.06
