region_name,region_code,country_name,country_code,reporting_year,reporting_level,gini
East Asia & Pacific,EAP,China,CHN,1981,national,0.281640975068
East Asia & Pacific,EAP,China,CHN,1984,national,0.271023018338
East Asia & Pacific,EAP,China,CHN,1987,national,0.293859577849
East Asia & Pacific,EAP,China,CHN,1990,national,0.322266184917
East Asia & Pacific,EAP,China,CHN,1993,national,0.338777997026
East Asia & Pacific,EAP,China,CHN,1996,national,0.352276598756
East Asia & Pacific,EAP,China,CHN,1999,national,0.387032148371
East Asia & Pacific,EAP,China,CHN,2002,national,0.419857248866
East Asia & Pacific,EAP,China,CHN,2005,national,0.40900766494
East Asia & Pacific,EAP,China,CHN,2008,national,0.429650391783
East Asia & Pacific,EAP,China,CHN,2010,national,0.437449533883
East Asia & Pacific,EAP,China,CHN,2011,national,0.424092242453
East Asia & Pacific,EAP,China,CHN,2012,national,0.422371655838
East Asia & Pacific,EAP,China,CHN,2013,national,0.397363987343
East Asia & Pacific,EAP,China,CHN,2014,national,0.391776523744
East Asia & Pacific,EAP,China,CHN,2015,national,0.38595302835
East Asia & Pacific,EAP,China,CHN,2016,national,0.384805183664
East Asia & Pacific,EAP,China,CHN,2017,national,0.390757757416
East Asia & Pacific,EAP,China,CHN,2018,national,0.384976418972
East Asia & Pacific,EAP,China,CHN,2019,national,0.381683426597
East Asia & Pacific,EAP,China,CHN,2020,national,0.370908308122
East Asia & Pacific,EAP,China,CHN,2021,national,0.357437517295
