region_name,region_code,country_name,country_code,reporting_year,reporting_level,gini
Europe & Central Asia,ECA,Armenia,ARM,2010,national,0.299925823432
Other High Income Countries,OHI,Australia,AUS,2010,national,0.346567275956
Other High Income Countries,OHI,Austria,AUT,2010,national,0.302516641462
Other High Income Countries,OHI,Belgium,BEL,2010,national,0.283748302801
South Asia,SAS,Bangladesh,BGD,2010,national,0.321303193871
Europe & Central Asia,ECA,Bulgaria,BGR,2010,national,0.35653467247
Europe & Central Asia,ECA,Belarus,BLR,2010,national,0.285665997589
Other High Income Countries,OHI,Canada,CAN,2010,national,0.335926033624
Other High Income Countries,OHI,Switzerland,CHE,2010,national,0.325530304316
East Asia & Pacific,EAP,China,CHN,2010,national,0.437449533883
Latin America & Caribbean,LAC,Colombia,COL,2010,national,0.546163353687
Latin America & Caribbean,LAC,Costa Rica,CRI,2010,national,0.480430384444
Other High Income Countries,OHI,Cyprus,CYP,2010,national,0.314577890712
Europe & Central Asia,ECA,Czechia,CZE,2010,national,0.266235137503
Other High Income Countries,OHI,Germany,DEU,2010,national,0.302184137459
Other High Income Countries,OHI,Denmark,DNK,2010,national,0.271985592215
Latin America & Caribbean,LAC,Dominican Republic,DOM,2010,national,0.473259435756
Latin America & Caribbean,LAC,Ecuador,ECU,2010,national,0.488000833146
Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2010,national,0.30191457698
Other High Income Countries,OHI,Spain,ESP,2010,national,0.352444838666
Europe & Central Asia,ECA,Estonia,EST,2010,national,0.31999837179
Sub-Saharan Africa,SSA,Ethiopia,ETH,2010,national,0.331706008147
Other High Income Countries,OHI,Finland,FIN,2010,national,0.277139625581
Other High Income Countries,OHI,France,FRA,2010,national,0.337204200513
Other High Income Countries,OHI,United Kingdom,GBR,2010,national,0.337056002415
Europe & Central Asia,ECA,Georgia,GEO,2010,national,0.394583876996
Sub-Saharan Africa,SSA,"Gambia, The",GMB,2010,national,0.435684210413
Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2010,national,0.506020918888
Other High Income Countries,OHI,Greece,GRC,2010,national,0.340987598947
Latin America & Caribbean,LAC,Honduras,HND,2010,national,0.530856367444
Europe & Central Asia,ECA,Hungary,HUN,2010,national,0.294441228087
East Asia & Pacific,EAP,Indonesia,IDN,2010,national,0.34586310727
Other High Income Countries,OHI,Ireland,IRL,2010,national,0.322948274136
Other High Income Countries,OHI,Iceland,ISL,2010,national,0.261712973881
Other High Income Countries,OHI,Israel,ISR,2010,national,0.425594672551
Other High Income Countries,OHI,Italy,ITA,2010,national,0.347168565507
Middle East & North Africa,MNA,Jordan,JOR,2010,national,0.33655730311
Other High Income Countries,OHI,Japan,JPN,2010,national,0.314922603647
Europe & Central Asia,ECA,Kazakhstan,KAZ,2010,national,0.279545117521
Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2010,national,0.301338041218
Other High Income Countries,OHI,"Korea, Rep.",KOR,2010,national,0.320212245633
Europe & Central Asia,ECA,Lithuania,LTU,2010,national,0.336087138218
Other High Income Countries,OHI,Luxembourg,LUX,2010,national,0.3050437807
