country,country_code,year,ghi
Afghanistan,AFG,2000,49.6
Afghanistan,AFG,2008,35.7
Afghanistan,AFG,2016,27.1
Afghanistan,AFG,2024,30.8
Albania,ALB,2000,16
Albania,ALB,2008,15.5
Albania,ALB,2016,6.2
Albania,ALB,2024,7.9
Algeria,DZA,2000,14.5
Algeria,DZA,2008,11
Algeria,DZA,2016,8.5
Algeria,DZA,2024,6.7
Angola,AGO,2000,63.8
Angola,AGO,2008,42.7
Angola,AGO,2016,25.9
Angola,AGO,2024,26.6
Argentina,ARG,2000,6.6
Argentina,ARG,2008,5.4
Argentina,ARG,2016,5.2
Argentina,ARG,2024,6.6
Armenia,ARM,2000,19.2
Armenia,ARM,2008,11.7
Armenia,ARM,2016,6.4
Armenia,ARM,2024,5.1
Azerbaijan,AZE,2000,25
Azerbaijan,AZE,2008,15
Azerbaijan,AZE,2016,8.1
Azerbaijan,AZE,2024,6.2
Bahrain,BHR,2000,NA
Bahrain,BHR,2008,NA
Bahrain,BHR,2016,NA
Bahrain,BHR,2024,NA
Bangladesh,BGD,2000,33.8
Bangladesh,BGD,2008,30.6
Bangladesh,BGD,2016,24.7
Bangladesh,BGD,2024,19.4
Belarus,BLR,2000,5
Belarus,BLR,2008,5
Belarus,BLR,2016,5
Belarus,BLR,2024,5
Benin,BEN,2000,33.7
Benin,BEN,2008,26.9
Benin,BEN,2016,23.6
Benin,BEN,2024,24.7
Bhutan,BTN,2000,NA
Bhutan,BTN,2008,NA
Bhutan,BTN,2016,NA
Bhutan,BTN,2024,NA
Bolivia (Plurinat. State of),BOL,2000,27
Bolivia (Plurinat. State of),BOL,2008,21.2
Bolivia (Plurinat. State of),BOL,2016,14.3
Bolivia (Plurinat. State of),BOL,2024,16.8
Bosnia & Herzegovina,BIH,2000,9.4
Bosnia & Herzegovina,BIH,2008,6.4
Bosnia & Herzegovina,BIH,2016,5
Bosnia & Herzegovina,BIH,2024,5
Botswana,BWA,2000,27.5
Botswana,BWA,2008,26.3
Botswana,BWA,2016,21.4
Botswana,BWA,2024,20.7
Brazil,BRA,2000,11.7
Brazil,BRA,2008,6.7
Brazil,BRA,2016,5.5
Brazil,BRA,2024,6.6
Bulgaria,BGR,2000,8.9
Bulgaria,BGR,2008,7.8
Bulgaria,BGR,2016,7.5
Bulgaria,BGR,2024,5.1
Burkina Faso,BFA,2000,44.9
Burkina Faso,BFA,2008,33.7
