year,iso_code,country,chamber,status,percentage_of_women,date_from,date_to,notes,structure,chamber_type
1945,AF,Afghanistan,House of Elders,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,DZ,Algeria,Council of the Nation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,AG,Antigua and Barbuda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,AR,Argentina,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,AU,Australia,Senate,NA,2.8,1945-01-01,1945-12-31,NA,Bicameral,Upper chamber
1945,AT,Austria,Federal Council,NA,0,1945-01-01,1948-12-31,NA,Bicameral,Upper chamber
1945,BS,Bahamas,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BH,Bahrain,Shura Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BB,Barbados,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BY,Belarus,Council of the Republic,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BE,Belgium,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BZ,Belize,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BT,Bhutan,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BO,Bolivia (Plurinational State of),Chamber of Senators,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BA,Bosnia and Herzegovina,House of Peoples,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,BR,Brazil,Federal Senate,NA,0,1945-01-01,1961-12-31,NA,Bicameral,Upper chamber
1945,BI,Burundi,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,KH,Cambodia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CM,Cameroon,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CA,Canada,Senate,NA,2.5,1945-01-01,1945-12-31,NA,Bicameral,Upper chamber
1945,TD,Chad,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1945,CL,Chile,Senate,NA,0,1945-01-01,1952-12-31,NA,Bicameral,Upper chamber
1945,CO,Colombia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CG,Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CI,Côte d'Ivoire,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CZ,Czechia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CD,Democratic Republic of the Congo,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,DO,Dominican Republic,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,EG,Egypt,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1945,GQ,Equatorial Guinea,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,SZ,Eswatini,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,ET,Ethiopia,House of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,FR,France,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,GA,Gabon,Transitional Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,DE,Germany,Federal Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,GD,Grenada,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,HT,Haiti,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,IN,India,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,IE,Ireland,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,IT,Italy,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,JM,Jamaica,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,JP,Japan,House of Councillors,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,JO,Jordan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,KZ,Kazakhstan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,KE,Kenya,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,LS,Lesotho,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,LR,Liberia,The Liberian Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,MG,Madagascar,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,MY,Malaysia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,MR,Mauritania,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1945,MX,Mexico,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,MA,Morocco,House of Councillors,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,MM,Myanmar,House of Nationalities,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,NA,Namibia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,NP,Nepal,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,NL,Netherlands,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,NG,Nigeria,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,OM,Oman,State Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,PK,Pakistan,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,PW,Palau,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,PY,Paraguay,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,PH,Philippines,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,PL,Poland,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,RO,Romania,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,RU,Russian Federation,Council of the Federation,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,RW,Rwanda,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,LC,Saint Lucia,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,SI,Slovenia,National Council,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,SO,Somalia,Upper House,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,ZA,South Africa,National Council of Provinces,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,SS,South Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,ES,Spain,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,SD,Sudan,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,CH,Switzerland,Council of States,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,TJ,Tajikistan,National Assembly,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,TH,Thailand,Senate,NA,NA,NA,NA,NA,Unicameral,NA
1945,TG,Togo,Senate,NA,NA,NA,NA,NA,NA,Upper chamber
1945,TT,Trinidad and Tobago,Senate,NA,NA,NA,NA,NA,Bicameral,Upper chamber
1945,TN,Tunisia,National Council of Regions and Districts,NA,NA,NA,NA,NA,Unicameral,NA
1945,TM,Turkmenistan,People’s Council,NA,NA,NA,NA,NA,Unicameral,NA
1945,GB,United Kingdom,House of Lords,NA,NA,NA,NA,NA,Bicameral,Upper chamber
