country_name,country_code,year,pcnt_women
Australia,AUS,1945,2.8
Austria,AUT,1945,0
Brazil,BRA,1945,0
Canada,CAN,1945,2.5
Chile,CHL,1945,0
Argentina,ARG,1950,0
Australia,AUS,1950,6.7
Austria,AUT,1950,2.1
Belgium,BEL,1950,4
Brazil,BRA,1950,0
Canada,CAN,1950,2.3
Chile,CHL,1950,0
Colombia,COL,1950,0
Dominican Republic,DOM,1950,0
France,FRA,1950,3.8
Haiti,HTI,1950,0
Ireland,IRL,1950,5
Italy,ITA,1950,1.2
Japan,JPN,1950,4.8
Jordan,JOR,1950,0
Netherlands,NLD,1950,2
Philippines,PHL,1950,0
United States of America,USA,1950,1
Uruguay,URY,1950,0
Argentina,ARG,1955,20
Australia,AUS,1955,8.3
Austria,AUT,1955,2.2
Belgium,BEL,1955,3.4
Bolivia (Plurinational State of),BOL,1955,0
Brazil,BRA,1955,0
Cambodia,KHM,1955,0
Canada,CAN,1955,6.6
Chile,CHL,1955,2.2
Colombia,COL,1955,0
Dominican Republic,DOM,1955,13
France,FRA,1955,2.8
Haiti,HTI,1955,0
India,IND,1955,7.8
Ireland,IRL,1955,5
Italy,ITA,1955,0.4
Japan,JPN,1955,6
Jordan,JOR,1955,0
Netherlands,NLD,1955,4
Philippines,PHL,1955,12.5
South Africa,ZAF,1955,1.1
United States of America,USA,1955,3
Uruguay,URY,1955,0
Argentina,ARG,1960,0
Australia,AUS,1960,8.3
Austria,AUT,1960,12.5
Belgium,BEL,1960,3.4
Bolivia (Plurinational State of),BOL,1960,0
Brazil,BRA,1960,0
Cambodia,KHM,1960,0
Canada,CAN,1960,6.9
Chile,CHL,1960,0
Colombia,COL,1960,0
Democratic Republic of the Congo,COD,1960,0
Dominican Republic,DOM,1960,8.3
Ethiopia,ETH,1960,0
France,FRA,1960,1.6
Haiti,HTI,1960,0
India,IND,1960,10.2
Ireland,IRL,1960,6.7
Italy,ITA,1960,1.2
Japan,JPN,1960,6
Jordan,JOR,1960,0
Madagascar,MDG,1960,0
Malaysia,MYS,1960,0
Nepal,NPL,1960,2.8
Netherlands,NLD,1960,5.3
Philippines,PHL,1960,0
South Africa,ZAF,1960,3.7
United States of America,USA,1960,2
Uruguay,URY,1960,0
Afghanistan,AFG,1965,0
Argentina,ARG,1965,0
Australia,AUS,1965,6.7
Austria,AUT,1965,13.7
Belgium,BEL,1965,1.1
Bolivia (Plurinational State of),BOL,1965,0
Brazil,BRA,1965,0
Burundi,BDI,1965,0
Cambodia,KHM,1965,0
Canada,CAN,1965,5.2
Chile,CHL,1965,4.4
Colombia,COL,1965,0
Democratic Republic of the Congo,COD,1965,0
Dominican Republic,DOM,1965,3.7
Ethiopia,ETH,1965,0
France,FRA,1965,1.8
Haiti,HTI,1965,0
India,IND,1965,8.8
Ireland,IRL,1965,6.7
Italy,ITA,1965,1.9
Japan,JPN,1965,6.8
Jordan,JOR,1965,0
Lesotho,LSO,1965,9.1
Madagascar,MDG,1965,2
Malaysia,MYS,1965,3.4
Mexico,MEX,1965,3.3
Nepal,NPL,1965,2.8
Netherlands,NLD,1965,5.3
Philippines,PHL,1965,12.5
South Africa,ZAF,1965,3.6
Trinidad and Tobago,TTO,1965,20.8
United States of America,USA,1965,2
Uruguay,URY,1965,0
Afghanistan,AFG,1970,0
Argentina,ARG,1970,0
Australia,AUS,1970,3.3
Austria,AUT,1970,16.7
Barbados,BRB,1970,9.5
Belgium,BEL,1970,0
Bolivia (Plurinational State of),BOL,1970,0
Brazil,BRA,1970,0
Burundi,BDI,1970,0
Cambodia,KHM,1970,0
Canada,CAN,1970,6.6
Chile,CHL,1970,4
Colombia,COL,1970,2.5
Democratic Republic of the Congo,COD,1970,0
Dominican Republic,DOM,1970,14.8
